STATE,STATENAME,ST_CASE,VEH_NO,TRAILER_NO,VEHICLEDESCRIPTOR,VINDECODEDON,VINDECODEERROR,VEHICLETYPEID,VEHICLETYPE
4,Arizona,41098,3,1,3H3V532K*NJ******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,41113,1,1,3UTVS253*P8******,2023-09-15 02:07:06,0,6,TRAILER
5,Arkansas,50005,2,1,5NYGU202*HN******,2023-09-15 02:07:06,0,6,TRAILER
5,Arkansas,50022,1,1,1TDH4222*7B******,2023-09-15 02:07:06,0,6,TRAILER
5,Arkansas,50076,2,1,1M9BA402*G1435***,2023-09-15 02:07:06,0,6,TRAILER
5,Arkansas,50156,1,1,1DW1A281*LS******,2023-09-15 02:07:06,0,6,TRAILER
5,Arkansas,50156,1,2,1GRAA561*8K******,2023-09-15 02:07:06,0,6,TRAILER
5,Arkansas,50192,2,1,1L9AC32C*HL033***,2023-09-15 02:07:06,0,6,TRAILER
5,Arkansas,50209,1,1,5WSABB23*LN******,2023-09-15 02:07:06,0,6,TRAILER
5,Arkansas,50345,1,1,1TTF5320*81******,2023-09-15 02:07:06,0,6,TRAILER
5,Arkansas,50359,2,1,4WW4412A*H7******,2023-09-15 02:07:06,0,6,TRAILER
5,Arkansas,50494,1,1,1UYVS253*EM******,2023-09-15 02:07:06,0,6,TRAILER
5,Arkansas,50580,2,1,1TTF4820*42******,2023-09-15 02:07:06,0,6,TRAILER
6,California,60018,2,1,1UYFS244*4A******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60028,2,1,5DN15442*KB******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60042,3,1,1R9BD122*LF600***,2023-09-16 00:40:48,0,6,TRAILER
6,California,60064,2,1,3H3V532C*JT******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60088,1,1,1GRAA062*7D******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60099,2,1,1UYFS248*7A******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60105,2,1,1C9FA382*G1257***,2023-09-16 00:40:48,0,6,TRAILER
6,California,60123,2,1,1TTE4820*31******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60126,2,1,3H3V532S*NJ******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60147,2,1,1GRAP062*HJ******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60156,1,1,1GRAP062*JD******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60177,2,1,1UYFS248*DA******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60184,2,1,3H3V532C*JR******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60200,2,1,1JJV532B*JL******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60213,2,1,1A9A4432*MH939***,2023-09-16 00:40:48,0,6,TRAILER
6,California,60224,1,1,1GRAA062*FT******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60229,3,1,1JJV532W*5L******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60245,3,1,4WW5482A*G6******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60257,1,1,1S12GC40*RG******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60311,2,1,1JJV532W*7L******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60333,1,1,LCAA830T*GT******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60352,2,1,1UYVS253*DP******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60355,2,1,1S12E953*KG******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60369,2,1,51W12312*J1******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60379,3,1,3H3V532C*JR******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60380,3,1,1W16482A*D5******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60394,1,1,LJRC4126*G1******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60439,2,1,1UYFS248*WA******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60449,2,1,1JJV532D*EL******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60456,2,1,1UYVS253*XM******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60470,2,1,1UYVS128*CU******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60481,1,1,1JJV532D*ML******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60485,3,1,3H3V532C*KR******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60556,2,1,1GR1A062*NW******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60660,2,1,1UNST422*7L******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60669,2,1,3H3V532C*LR******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60692,2,1,13N25320*F1******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60741,2,1,1JJV532W*6L******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60742,2,1,4ZETD222*N1******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60755,3,1,1E9EB392*6L185***,2023-09-16 00:40:48,0,6,TRAILER
6,California,60764,2,1,1UYVS253*7U******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60778,2,1,1JJV532W*1L******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60786,2,1,1UYVS253*FU******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60811,1,1,5EF2GC40*HB******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60838,1,1,1DW1A281*NS******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60838,1,2,1GR1A561*MD******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60845,2,1,3H3V532C*DT******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60850,2,1,3H3V482K*NJ******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60886,2,1,1GRAA062*KW******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60902,2,1,1GRAA062*DW******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60906,1,1,4RACS101*8K******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60910,2,1,1W9T2326*7L010***,2023-09-16 00:40:48,0,6,TRAILER
6,California,60916,2,1,5HTAM452*V7******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60924,2,1,3H3C492S*NT******,2023-09-16 00:40:48,0,6,TRAILER
6,California,60926,1,1,1P91452A*8A509***,2023-09-16 00:40:48,0,6,TRAILER
6,California,60950,2,1,1W910322*TW172***,2023-09-16 00:40:48,0,6,TRAILER
6,California,60996,2,1,10BBAA21*MP******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61001,3,1,1S12GC40*NB******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61022,3,1,4HXRC142*5C******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61022,5,1,53BLTEB2*JF******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61083,1,1,1UYVS248*J2******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61114,1,1,1GRAA062*AT******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61122,1,1,1GR1A062*NE******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61125,1,1,3CV1C202*N2******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61128,1,1,3H3V532C*JR******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61131,2,1,1JJV281D*LL******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61160,2,1,1WRFH328*VW******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61183,1,1,1UYVS253*GU******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61183,3,1,3H6KS211*M3******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61183,3,2,3H6HS282*M3******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61227,2,1,1PMKA442*M7******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61231,2,1,10BABA13*LP******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61231,2,2,10BBBA20*LP******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61237,2,1,3H3V532C*KT******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61243,2,1,1JJV532W*YL******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61261,2,1,1JJV532W*5L******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61293,2,1,3H3V532C*MT******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61333,2,1,1UYVS253*GU******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61338,2,1,7HN1FER2*NP******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61351,2,1,1UYVS253*GU******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61394,2,1,5V8VC532*LT******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61398,2,1,1JJV532W*5L******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61409,2,1,4AGAU232*7C******,2023-09-16 00:40:48,1,6,TRAILER
6,California,61477,2,1,1UYVS253*CU******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61480,2,1,16WTE402*8A******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61483,2,1,1PMA1231*E5******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61483,2,2,1JJD1017*PL******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61494,2,1,1DW1A281*8S******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61496,2,1,5V8VA532*DM******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61502,1,1,LJRC5426*B1******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61509,2,1,1UYFS248*5A******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61510,1,1,3H3V532C*MR******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61510,2,1,1UYVS253*EU******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61510,4,1,1GR1P062*LJ******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61578,2,1,1UYVS253*6U******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61581,1,1,5WWGF322*N6******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61631,1,1,1JJV532W*YL******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61655,2,1,5R8BD102*MM******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61704,1,1,1UYVS253*P2******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61711,2,1,3CV1C312*N2******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61725,3,1,1UNST442*DS******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61734,1,1,1GRAP062*KT******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61760,1,1,1JJV532D*LL******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61778,2,1,1PTF73TH*J9******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61785,3,1,1TTF4820*32******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61813,3,1,1UYVS253*M2******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61838,1,1,1RZ1KC1A*R2******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61838,1,2,7F21A281*H2******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61846,2,1,1JJV532B*FL******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61909,3,1,5DN11452*LB******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61921,2,1,5R8BF302*MM******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61971,3,1,1UYVS253*J3******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61972,2,1,1GRDM962*DH******,2023-09-16 00:40:48,0,6,TRAILER
6,California,61988,2,1,5DN11532*DB******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62004,2,1,4P5T8222*K1******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62036,1,1,1DW1C532*YS******,2023-09-16 00:40:48,1,6,TRAILER
6,California,62040,2,1,3CXLC532*NM******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62105,2,1,4ZEDT142*G1******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62119,2,1,4P5D8142*D1******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62122,2,1,1T92P452*KB072***,2023-09-16 00:40:48,0,6,TRAILER
6,California,62134,1,1,1JJV482W*1L******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62135,2,1,1W1K5452*P6******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62174,1,1,1JJV532D*JL******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62237,4,1,5V8VA532*MM******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62250,1,1,4TM11BD1*VB******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62358,2,1,1GRDM062*DH******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62373,1,1,1UYFS124*SA******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62496,1,1,1JJV532W*1L******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62498,2,1,LJRC4126*H1******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62513,2,1,16VGX352*F6******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62523,1,1,1GRAA062*CW******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62524,1,1,1UYVS129*J2******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62550,1,1,1UYVS253*HU******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62558,1,1,1JJV532D*KL******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62576,2,1,3CVTH222*J2******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62591,2,1,1GRAA962*8B******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62602,2,1,5V8VC532*AM******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62614,2,1,5EF2GC40*NB******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62625,1,1,1GR1A062*LW******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62646,2,1,1UYVS253*EU******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62662,3,1,1GRAP062*CT******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62671,2,1,1G9PDAL1*TA008***,2023-09-16 00:40:48,0,6,TRAILER
6,California,62708,1,1,3H3V532C*CT******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62713,2,1,1JJV532D*LL******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62756,2,1,1PTF71TJ*L9******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62771,2,1,1GR1P062*NJ******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62881,2,1,3H3V532C*5T******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62941,2,1,4HXBS162*MC******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62942,2,1,5E0AA164*NG******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62969,2,1,3H3V281C*KT******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62981,2,1,3H3V532K*NJ******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62994,2,1,1UYVS248*DU******,2023-09-16 00:40:48,0,6,TRAILER
6,California,62995,2,1,1DW1A532*XS******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63026,2,1,1UYVS253*DP******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63032,5,1,1JJV532D*KL******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63060,1,1,591SH482*HC******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63064,2,1,13N1482C*J1******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63073,2,1,1GR1P062*LJ******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63076,1,1,5KTUS232*MF******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63084,2,1,4HXEN081*CC******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63091,2,1,1UYVS250*7U******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63101,2,1,3H3V482C*JT******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63128,2,1,5DN15442*FB******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63272,1,1,1JJV532D*GL******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63292,3,1,1S12E953*VD******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63400,1,1,1UYVS248*AP******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63496,4,1,LJRC5426*B1******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63507,2,1,3H3V532C*MT******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63542,2,1,3H3V532C*7T******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63591,1,1,1PMA1432*91******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63611,1,1,1JJV532B*JL******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63672,2,1,4J8T0442*HT******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63768,2,1,1JJV532W*9L******,2023-09-16 00:40:48,0,6,TRAILER
6,California,63841,1,1,1JJV532D*KL******,2023-09-16 00:40:48,0,6,TRAILER
6,California,64090,2,1,3H3V532C*AT******,2023-09-16 00:40:48,0,6,TRAILER
6,California,64140,2,1,5F1BS121*CA******,2023-09-18 13:49:23,0,6,TRAILER
6,California,64146,3,1,3H6KR422*N3******,2023-09-18 18:30:55,0,6,TRAILER
8,Colorado,80030,3,1,1RZ1KC1A*R2******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80030,3,2,1RZ1KC1A*R2******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80031,2,1,1KKVD281*KL******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80041,2,1,1JJV482U*SL******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80044,2,1,1JJV532W*4L******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80045,2,1,1UNST534*KL******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80071,2,1,1JJV281D*GL******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80071,2,2,1JJV281W*7L******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80074,2,1,4ZEDT102*81******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80083,2,1,1GRAA062*CB******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80091,2,1,1JJV281D*NL******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80091,2,2,1JJV281W*6L******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80102,2,1,46UFU162*J1******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80104,2,1,1GRAA062*HW******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80108,2,1,5LKL5636*F1******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80154,1,1,3H3V281C*CT******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80187,1,1,3H3V532C*LT******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80194,3,1,4X4TSMT1*LY******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80241,2,1,1P9CD382*HB343***,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80243,1,1,1MT2N502*9H******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80259,1,1,5LKD4025*D1******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80267,2,1,1JJV532D*ML******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80271,2,1,4P5CC202*G1******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80273,1,1,4ZEGD142*J1******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80278,2,1,1GRAA062*GW******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80356,2,1,1GRAA062*KB******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80383,3,1,1UYVF258*NP******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80461,1,1,1T9SC442*CB656***,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80482,2,1,4LAAS312*1E******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80504,2,1,1W1RJF2K*6D******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80517,2,1,5V8VC532*DM******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80524,1,1,1GR1P062*LJ******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80524,2,1,1JJV532D*LL******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80528,1,1,1UYVS253*FM******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80534,2,1,575GB162*JU******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80542,2,1,1TTE532C*C3******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80560,2,1,3H3V552A*PS******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80569,2,1,1W1RAF1E*J2******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80595,2,1,4RADG182*NN******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80596,1,1,1JJV532D*EL******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80596,2,1,1UYVS253*L6******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80599,2,1,5MAPA532*PH******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80657,2,1,1DW1A532*LS******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80665,2,1,3H3V532A*PJ******,2023-09-15 02:07:06,0,6,TRAILER
8,Colorado,80668,1,1,1JJV281D*GL******,2023-09-15 02:07:06,0,6,TRAILER
9,Connecticut,90053,1,1,46UFU222*N1******,2023-09-15 02:07:06,0,6,TRAILER
9,Connecticut,90079,1,1,1JJV532D*LL******,2023-09-15 02:07:06,0,6,TRAILER
9,Connecticut,90148,1,1,1GR1P062*LD******,2023-09-15 02:07:06,0,6,TRAILER
9,Connecticut,90176,3,1,1JJV532B*JL******,2023-09-15 02:07:06,0,6,TRAILER
9,Connecticut,90189,2,1,1GRDM962*EH******,2023-09-15 02:07:06,0,6,TRAILER
9,Connecticut,90224,1,1,3H3C412S*ST******,2023-09-15 02:07:06,0,6,TRAILER
9,Connecticut,90233,1,1,1JJV532W*4L******,2023-09-15 02:07:06,0,6,TRAILER
9,Connecticut,90322,1,1,1UYVS253*L6******,2023-09-15 02:07:06,0,6,TRAILER
10,Delaware,100009,1,1,1GRAA062*HE******,2023-09-15 02:07:06,0,6,TRAILER
10,Delaware,100010,2,1,1W9AA362*C1198***,2023-09-15 02:07:06,0,6,TRAILER
10,Delaware,100012,2,1,50PAD122*ML******,2023-09-15 02:07:06,"1,400",6,TRAILER
10,Delaware,100036,3,1,3H3V532C*CT******,2023-09-15 02:07:06,0,6,TRAILER
10,Delaware,100036,6,1,3H3V532C*FT******,2023-09-15 02:07:06,0,6,TRAILER
10,Delaware,100039,1,1,4WW4412A*E7******,2023-09-15 02:07:06,0,6,TRAILER
10,Delaware,100040,1,1,1V9DS482*CN062***,2023-09-15 02:07:06,0,6,TRAILER
10,Delaware,100041,1,1,5DN15442*HB******,2023-09-15 02:07:06,0,6,TRAILER
10,Delaware,100096,2,1,4P5B6202*M3******,2023-09-15 02:07:06,0,6,TRAILER
10,Delaware,100099,1,1,1UYVS253*FP******,2023-09-15 02:07:06,0,6,TRAILER
10,Delaware,100103,2,1,2M592161*L1******,2023-09-15 02:07:06,0,6,TRAILER
10,Delaware,100107,2,1,7KYFC482*LE******,2023-09-15 02:07:06,0,6,TRAILER
10,Delaware,100114,1,1,1PMA2432*75******,2023-09-15 02:07:06,0,6,TRAILER
10,Delaware,100119,1,1,1TTF4820*72******,2023-09-15 02:07:06,0,6,TRAILER
